"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato";"peso_upt"
"10615";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Entre 1 hora e 1 hora e 30 minutos";3144,83723284772;"Médio completo";"Feminino";"Outros";5,50649350649351;424;533020210;0,780199918533605
"10616";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 1 hora e 1 hora e 30 minutos";5031,73957255635;"Médio completo";"Masculino";"Outros";4,26760563380282;303;533020111;0,780199918533605
"10617";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Entre 1 hora e 1 hora e 30 minutos";2066,60732444278;"Médio completo";"Masculino";"Outros";8,25352112676056;586;533020106;0,780199918533605
"10618";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";10782,2990840493;"Superior completo";"Masculino";"Outros";20,2913385826772;2577;533010110;0,780199918533605
"10619";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 1 hora e 1 hora e 30 minutos";2476,74085165496;"Superior completo";"Feminino";"Branca";5,26262626262626;521;533020209;0,780199918533605
"10620";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";3669,24570615549;"Superior completo";"Masculino";"Outros";4,95145631067961;510;533020109;0,780199918533605
"10621";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Ônibus";"Entre 30 minutos e 1 hora";4492,62461835388;"Médio completo";"Masculino";"Outros";20,4586466165414;2721;533010109;0,780199918533605
"10622";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Até 30 minutos";2660,20313696273;"Médio completo";"Masculino";"Outros";7,72058823529412;525;533020107;0,780199918533605
"10623";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";871,445855211929;"Médio completo";"Feminino";"Branca";9,79310344827586;568;533020205;0,780199918533605
"10624";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Acima de 1 hora e 30 minutos";1467,6982824622;"Médio completo";"Masculino";"Branca";10,4545454545455;575;533020105;0,780199918533605
"10625";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Acima de 1 hora e 30 minutos";2109,81628103941;"Superior incompleto";"Feminino";"Branca";9,79310344827586;568;533020205;0,780199918533605
