"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato"
"2780";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";23509,6885528185;"Superior completo";"Masculino";"Parda";11,131455399061;2371;530120107
"2781";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";11284,6505053529;"Superior completo";"Feminino";"Parda";13,1032863849765;2791;530120207
"2782";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";17970,4984734155;"Médio completo";"Masculino";"Branca";19,5866666666667;2938;530120110
"2783";"Central";"Plano Piloto";"Central";"A pé";"Até 30 minutos";1078,22990840493;"Superior completo";"Masculino";"Branca";28,8607594936709;2280;530120105
"2784";"Central";"Plano Piloto";"Central";"Ônibus";"Até 30 minutos";1128,46505053529;"Superior incompleto";"Masculino";"Branca";28,8607594936709;2280;530120105
"2785";"Central";"Plano Piloto";"Central";"A pé";"Até 30 minutos";1880,77508422548;"Superior completo";"Masculino";"Branca";11,131455399061;2371;530120107
"2786";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";4701,9377105637;"Superior completo";"Feminino";"Branca";13,1032863849765;2791;530120207
"2787";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3669,24570615549;"Superior completo";"Feminino";"Branca";6,73684210526316;640;530130206
"2788";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";15594,2942511608;"Superior completo";"Feminino";"Branca";8,69724770642202;948;530130210
"2789";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";13759,6713980831;"Superior completo";"Masculino";"Parda";7,32142857142857;410;530130112
"2790";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Masculino";"Parda";19,5866666666667;2938;530120110
"2791";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10549,081405197;"Superior completo";"Masculino";"Branca";17,7539682539683;2237;530120106
"2792";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";4701,9377105637;"Superior incompleto";"Feminino";"Branca";13,1032863849765;2791;530120207
"2793";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";3761,55016845096;"Superior completo";"Masculino";"Parda";11,131455399061;2371;530120107
"2794";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";5642,32525267644;"Superior completo";"Feminino";"Branca";13,1032863849765;2791;530120207
"2795";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9403,87542112741;"Superior completo";"Masculino";"Branca";11,131455399061;2371;530120107
"2796";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";6054,25541515656;"Superior completo";"Feminino";"Branca";18,929347826087;3483;530120208
